Flight_Path,Requested_Lateral_Speed,Requested_Vertical_Speed,Requested_Vertical_Down_Speed,Requested_Lateral_Acceleration,Requested_Lateral_Deceleration,Requested_Vertical_Acceleration,Requested_Vertical_Deceleration,Q_Position,Q_Velocity,Q_Angular_Velocity,Q_Angles,Ctrl_R,CargoMass,TopVertSpread,BottomVertSpread,HortSpread,LeftTiltAngle,RightTiltAngle,fuse_hub_tube_Length,center_cargo_tube_Length,front_wing_tube_Length,center_tube_prop_Length,front_wing_SPAN,WingChord,front_wing_LOAD
9,17,-4,7,8,-5,-5,8,0.1,0.199053585,63.09573445,1.990535853,0.25,0.5,100,210,140,315,45,20,305,50,250,1200,150,30
9,19,-6,9,9,-7,-7,8,0.015848932,0.031547867,0.630957344,0.07924466,0.25,0.001,100,210,140,315,45,20,305,50,250,1200,150,30
