CargoMass,Flight_Path,Requested_Lateral_Speed,Requested_Vertical_Speed,Requested_Vertical_Down_Speed,Requested_Lateral_Acceleration,Requested_Lateral_Deceleration,Requested_Vertical_Acceleration,Requested_Vertical_Deceleration,Q_Position,Q_Velocity,Q_Angular_Velocity,Q_Angles,Ctrl_R,wing_span,wing_tube_length,wing_chord,wing_load,forward_tube_length,motor_horiz_distance,motor_horiz_center_distance,motor_vert_height,motor_vert_depth
0.5,9,32,-8,19,2,-9,-6,15,0.039810717,0.001995262,0.630957345,0.002511886,1.584893192,390,440,55,50,200,400,200,200,200
0.001,9,32,-7,13,2,-6,-6,15,0.039810717,0.001995262,0.630957345,0.002511886,1.584893192,390,440,55,50,200,400,200,200,200
