Flight_Path,Requested_Vertical_Speed,Requested_Lateral_Speed,Requested_Vertical_Down_Speed,Requested_Lateral_Acceleration,Requested_Lateral_Deceleration,Requested_Vertical_Acceleration,Requested_Vertical_Deceleration,Q_position,Q_Velocity,Q_Angular_velocity,Q_Angles,Ctrl_R,CargoMass,TopVertSpread,BottomVertSpread,HortSpread,LeftTiltAngle,RightTiltAngle,fuse_hub_tube_Length,center_cargo_tube_Length,front_wing_tube_Length,center_tube_prop_Length,front_wing_SPAN,WingChord,front_wing_LOAD
9,-1,16,1,2,-5,-5,5,1,0.5,1,0.5,0.25,0.5,50,100,140,315,45,20,305,50,250,1200,150,30
9,-1,16,1,2,-5,-5,5,1,0.5,1,0.5,0.25,0.001,50,100,140,315,45,20,305,50,250,1200,150,30
