Flight_Path,Requested_Lateral_Speed,Requested_Vertical_Speed,Requested_Vertical_Down_Speed,Requested_Lateral_Acceleration,Requested_Lateral_Deceleration,Requested_Vertical_Acceleration,Requested_Vertical_Deceleration,Q_Position,Q_Velocity,Q_Angular_Velocity,Q_Angles,Ctrl_R,CargoMass,TopVertSpread,BottomVertSpread,HortSpread,LeftTiltAngle,RightTiltAngle,fuse_hub_tube_Length,center_cargo_tube_Length,cargo_attach_tube_Length,front_wing_tube_Length,center_tube_prop_Length,front_wing_SPAN,WingChord,front_wing_LOAD,TailWingChord,TailExtension,TailSpan,TailLoad
9,7,-7,7,5,-11,-11,8,0.01,0.079244659,3.981071706,0.005,10.00000001,0.5,50,150,150,284,76,40,355,5,25,250,1200,150,30,50,25,200,15
9,7,-11,7,3,-10,-10,6,0.003981072,0.003154787,0.251188643,199.0535858,10.00000001,0.001,50,150,150,284,76,40,355,5,25,250,1200,150,30,50,25,200,15
