Flight_Path,Requested_Lateral_Speed,Requested_Vertical_Speed,Requested_Vertical_Down_Speed,Requested_Lateral_Acceleration,Requested_Lateral_Deceleration,Requested_Vertical_Acceleration,Requested_Vertical_Deceleration,Q_Position,Q_Velocity,Q_Angular_Velocity,Q_Angles,Ctrl_R,wing_span,wing_tube_length,wing_chord,wing_load,forward_tube_length,motor_horiz_distance,motor_horiz_center_distance,motor_vert_height,motor_vert_depth,CargoMass
9,25,-4.0,4.0,3,-6,-6,1.0,0.06309573435004062,0.015848931899999995,0.5011872340000001,0.316227766016838,1.584893192376724,670,720,50,75,200,400,200,200,200,0.5
9,24,-4.0,4.0,6.0,-2.0,-6.0,4.0,0.050118723284899976,0.15848931899999996,3.162277662520133,1.995262314968881,2.5118864313758325,670,720,50,75,200,400,200,200,200,0.001
