Flight_Path,Requested_Lateral_Speed,Requested_Vertical_Speed,Requested_Vertical_Down_Speed,Requested_Lateral_Acceleration,Requested_Lateral_Deceleration,Requested_Vertical_Acceleration,Requested_Vertical_Deceleration,Q_Position,Q_Velocity,Q_Angular_Velocity,Q_Angles,Ctrl_R,wing_span,wing_tube_length,wing_chord,wing_load,forward_tube_length,motor_horiz_distance,motor_horiz_center_distance,motor_vert_height,motor_vert_depth,cargo_mass
9,20,-2,3,1,-2,-1,1,0.158489319,0.015848932,0.501187234,0.01,0.316227766,600,650,100,25,200,400,200,200,200,0.5
9,20,-2,3,1,-2,-1,1,0.158489319,0.015848932,0.501187234,0.01,0.316227766,600,650,100,25,200,400,200,200,200,0.001
