Flight_Path,Requested_Lateral_Speed,Requested_Vertical_Speed,Requested_Vertical_Down_Speed,Requested_Lateral_Acceleration,Requested_Lateral_Deceleration,Requested_Vertical_Acceleration,Requested_Vertical_Deceleration,Q_Position,Q_Velocity,Q_Angular_Velocity,Q_Angles,Ctrl_R,wing_span,wing_tube_length,wing_chord,wing_load,forward_tube_length,motor_horiz_distance,motor_horiz_center_distance,motor_vert_height,motor_vert_depth,CargoMass
9,36,-8.5,12.5,4.5,-6,-8,6,0.006309573436029592,0.012589252130622394,1.584893193766809,0.0015848929201969747,6.309573442966208,390,440,55,50,200,400,200,200,200,0.5
9,36,-11,9,2,-4,-12,10,0.006309573436029592,0.012589252130622394,1.584893193766809,0.0015848929201969747,6.309573442966208,390,440,55,50,200,400,200,200,200,0.001
